-12	161988.817
-11.5	98237.60285
-11	59566.33491
-10.5	36109.34357
-10	21881.76766
-9.5	13252.9805
-9	8020.516608
-8.5	4848.283179
-8	2925.759464
-7.5	1761.255149
-7	1056.493645
-6.5	630.5299125
-6	373.596345
-5.5	219.1040624
-5	126.6579146
-4.5	71.75278706
-4	39.52301774
-3.5	20.95057475
-3	10.56480364
-2.5	5.047013581
-2	2.383970324
-1.5	1.354375362
-1	1.217346191
-0.5	1.5234375
0	2
0	2
0.5	2.481770833
1	2.868170844
1.5	3.09839533
2	3.135549771
2.5	2.957247647
3	2.549905473
3.5	1.905281186
4	1.01837374
4.5	-0.1138513503
5	-1.493235325
5.5	-3.120895392
6	-4.997509444
6.5	-7.123488803
7	-9.49908305
7.5	-12.12444362
8	-14.99966241
8.5	-18.12479516
9	-21.49987571
9.5	-25.12492458
10	-28.99995424
10.5	-33.12497223
11	-37.49998315
11.5	-42.12498978
12	-46.9999938
