2.01	2.731871391
2.02	2.745530569
2.03	2.759257873
2.04	2.773053643
2.05	2.786918219
2.06	2.800851946
2.07	2.814855167
2.08	2.82892823
2.09	2.843071483
2.1	2.857285276
2.11	2.87156996
2.12	2.88592589
2.13	2.90035342
2.14	2.914852908
2.15	2.929424712
2.16	2.944069193
2.17	2.958786713
2.18	2.973577638
2.19	2.988442331
2.2	3.003381163
2.21	3.018394502
2.22	3.033482719
2.23	3.048646189
2.24	3.063885286
2.25	3.079200388
2.26	3.094591873
2.27	3.110060122
2.28	3.125605519
2.29	3.141228447
2.3	3.156929294
2.31	3.172708447
2.32	3.188566298
2.33	3.204503239
2.34	3.220519663
2.35	3.236615968
2.36	3.252792552
2.37	3.269049814
2.38	3.285388158
2.39	3.301807987
2.4	3.318309708
2.41	3.334893728
2.42	3.351560459
2.43	3.368310312
2.44	3.385143703
2.45	3.402061047
2.46	3.419062762
2.47	3.436149271
2.48	3.453320995
2.49	3.470578359
2.5	3.487921791
2.51	3.505351718
2.52	3.522868573
2.53	3.540472789
2.54	3.558164802
2.55	3.575945048
2.56	3.593813968
2.57	3.611772004
2.58	3.6298196
2.59	3.647957203
2.6	3.666185261
2.61	3.684504226
2.62	3.70291455
2.63	3.721416688
2.64	3.740011099
2.65	3.758698243
2.66	3.777478581
2.67	3.796352579
2.68	3.815320703
2.69	3.834383422
2.7	3.853541208
2.71	3.872794535
2.72	3.892143879
2.73	3.911589719
2.74	3.931132535
2.75	3.950772811
2.76	3.970511033
2.77	3.990347689
2.78	4.01028327
2.79	4.030318268
2.8	4.05045318
2.81	4.070688503
2.82	4.091024738
2.83	4.111462387
2.84	4.132001957
2.85	4.152643955
2.86	4.173388892
2.87	4.194237281
2.88	4.215189637
2.89	4.236246479
2.9	4.257408328
2.91	4.278675706
2.92	4.30004914
2.93	4.321529159
2.94	4.343116293
2.95	4.364811077
2.96	4.386614046
2.97	4.408525741
2.98	4.430546703
2.99	4.452677477
3	4.47491861
3.01	4.497270652
3.02	4.519734156
3.03	4.542309677
3.04	4.564997773
3.05	4.587799007
3.06	4.61071394
3.07	4.633743141
3.08	4.656887179
3.09	4.680146625
3.1	4.703522056
3.11	4.727014049
3.12	4.750623185
3.13	4.774350047
3.14	4.798195224
3.15	4.822159303
3.16	4.846242879
3.17	4.870446545
3.18	4.894770901
3.19	4.919216549
3.2	4.943784092
3.21	4.968474139
3.22	4.993287299
3.23	5.018224186
3.24	5.043285417
3.25	5.068471612
3.26	5.093783392
3.27	5.119221385
3.28	5.144786218
3.29	5.170478525
3.3	5.19629894
3.31	5.222248101
3.32	5.248326651
3.33	5.274535234
3.34	5.300874498
3.35	5.327345094
3.36	5.353947677
3.37	5.380682904
3.38	5.407551437
3.39	5.434553939
3.4	5.461691079
3.41	5.488963527
3.42	5.516371957
3.43	5.543917047
3.44	5.571599479
3.45	5.599419935
3.46	5.627379105
3.47	5.655477679
3.48	5.683716353
3.49	5.712095823
3.5	5.740616792
3.51	5.769279965
3.52	5.79808605
3.53	5.82703576
3.54	5.85612981
3.55	5.885368919
3.56	5.914753811
3.57	5.944285211
3.58	5.97396385
3.59	6.00379046
3.6	6.033765781
3.61	6.063890552
3.62	6.094165518
3.63	6.124591428
3.64	6.155169034
3.65	6.185899091
3.66	6.216782359
3.67	6.247819602
3.68	6.279011587
3.69	6.310359084
3.7	6.34186287
3.71	6.373523721
3.72	6.405342421
3.73	6.437319757
3.74	6.469456519
3.75	6.501753501
3.76	6.534211501
3.77	6.566831322
3.78	6.59961377
3.79	6.632559655
3.8	6.665669792
3.81	6.698944999
3.82	6.732386098
3.83	6.765993916
3.84	6.799769283
3.85	6.833713036
3.86	6.867826011
3.87	6.902109053
3.88	6.936563008
3.89	6.971188729
3.9	7.005987071
3.91	7.040958894
3.92	7.076105062
3.93	7.111426445
3.94	7.146923914
3.95	7.182598348
3.96	7.218450628
3.97	7.25448164
3.98	7.290692274
3.99	7.327083426
4	7.363655994
4.01	7.400410883
4.02	7.437349001
4.03	7.474471261
4.04	7.511778579
4.05	7.549271879
4.06	7.586952087
4.07	7.624820134
4.08	7.662876955
4.09	7.701123491
4.1	7.739560688
4.11	7.778189494
4.12	7.817010866
4.13	7.856025761
4.14	7.895235145
4.15	7.934639986
4.16	7.974241257
4.17	8.014039938
4.18	8.054037012
4.19	8.094233467
4.2	8.134630297
4.21	8.175228499
4.22	8.216029078
4.23	8.25703304
4.24	8.2982414
4.25	8.339655175
4.26	8.381275389
4.27	8.42310307
4.28	8.465139253
4.29	8.507384975
4.3	8.54984128
4.31	8.592509217
4.32	8.635389841
4.33	8.678484212
4.34	8.721793393
4.35	8.765318456
4.36	8.809060475
4.37	8.853020531
4.38	8.897199711
4.39	8.941599106
4.4	8.986219813
4.41	9.031062934
4.42	9.076129578
4.43	9.121420858
4.44	9.166937892
4.45	9.212681806
4.46	9.25865373
4.47	9.3048548
4.48	9.351286156
4.49	9.397948946
4.5	9.444844324
4.51	9.491973447
4.52	9.539337479
4.53	9.586937592
4.54	9.634774961
4.55	9.682850768
4.56	9.731166201
4.57	9.779722453
4.58	9.828520723
4.59	9.877562218
4.6	9.92684815
4.61	9.976379734
4.62	10.0261582
4.63	10.07618476
4.64	10.12646068
4.65	10.17698717
4.66	10.2277655
4.67	10.27879692
4.68	10.33008268
4.69	10.38162406
4.7	10.43342233
4.71	10.48547877
4.72	10.53779466
4.73	10.59037129
4.74	10.64320998
4.75	10.69631201
4.76	10.7496787
4.77	10.80331137
4.78	10.85721135
4.79	10.91137997
4.8	10.96581856
